,22.03.2026 19:01:59,23.03.2026 05:06:23,24.03.2026 04:56:17,25.03.2026 04:56:43,26.03.2026 05:09:27,27.03.2026 05:10:03,28.03.2026 04:55:28,29.03.2026 05:13:17,30.03.2026 05:28:15,31.03.2026 05:11:49,01.04.2026 05:27:45,02.04.2026 05:05:48,03.04.2026 05:07:21,04.04.2026 04:52:52,05.04.2026 05:14:49,06.04.2026 05:27:30,07.04.2026 05:11:57,08.04.2026 05:13:58,09.04.2026 05:12:19,10.04.2026 05:28:20,11.04.2026 04:58:34,12.04.2026 05:26:35,13.04.2026 05:44:57,14.04.2026 05:26:51,15.04.2026 05:27:13,16.04.2026 05:33:32,17.04.2026 05:31:14,18.04.2026 05:09:29,19.04.2026 05:32:19,20.04.2026 05:44:38,21.04.2026 05:29:55,22.04.2026 05:29:30,23.04.2026 05:33:24,24.04.2026 05:38:27,25.04.2026 05:14:11,26.04.2026 05:42:36,27.04.2026 05:57:55,28.04.2026 06:10:01,29.04.2026 05:57:23,30.04.2026 06:08:33,01.05.2026 06:18:51,02.05.2026 05:39:31,03.05.2026 06:08:00,04.05.2026 06:16:55
17.04.2026 - 02.05.2026,21054,21054,21054,21054,21054,21054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.2026 - 05.05.2026,,,,,,,29262,29262,29262,29262,29502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.04.2026 - 09.05.2026,,,,22154,22154,22154,,22154,22154,22154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.2026 - 16.05.2026,21043,21043,20282,20232,20835,20835,20082,20082,20082,19882,19963,20961,20972,,,,,21883,22760,,,,,,,,,,,,,,,,,,,,,,,,,
15.05.2026 - 30.05.2026,,,,,,,,,,,,,,,,,,21932,21954,21954,21954,,,22404,22404,,22404,,,,,,,,,,,,,,,,,
29.05.2026 - 13.06.2026,20603,20603,20603,20603,20603,20603,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20532,20632,21082,21082,21082,21082,21082,21082,21082,21082,21082,21082,21082,21303,21303,21296,,,,,,,
04.06.2026 - 19.06.2026,21333,21333,21333,21333,21333,20032,20032,20032,20032,20032,20032,20032,20032,20063,20063,20063,20063,20104,20104,20132,20132,20132,20132,20433,20433,20433,20433,20433,20433,20433,20504,20554,20664,20704,20854,20854,20847,21333,21364,21304,21304,21304,21304,21304
12.06.2026 - 27.06.2026,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,19804,20104,20104,20104,20104,20104,20104,20104,20104,20104,20104,20104,20533,20533,20526,20533,20533,20533,20533,20533,20533,20533
18.06.2026 - 03.07.2026,21712,21712,21712,21712,21712,21712,21712,21712,21712,20533,20533,20564,20564,20604,20604,20604,20604,20583,20583,20554,20554,20554,20554,20864,20864,20864,20864,20864,20864,20864,20864,21733,21804,21804,22254,22254,22247,22164,22164,22164,22164,22164,22164,22164
26.06.2026 - 11.07.2026,20883,20883,20883,20883,20883,20883,20883,20883,20883,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,20804,21233,21233,21233,21233,21233,21233,21233,21233,,,,,,,,,,,,,
02.07.2026 - 17.07.2026,23182,23182,23182,23182,23182,23182,23182,23182,23182,23203,23203,23203,23232,23232,23232,23232,23232,23203,23203,23203,23203,23203,23203,23553,23553,23553,23553,23632,23632,23632,23632,23663,23663,23632,24132,24132,24126,24132,24132,24103,24132,24132,24132,24132
03.07.2026 - 18.07.2026,23483,23483,23483,23483,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23404,23754,23754,23754,23754,23754,23754,23754,23754,23833,23754,23754,24254,24254,24247,24254,24254,24254,24333,24333,24504,24504
10.07.2026 - 25.07.2026,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22532,22633,22553,22553,22553,22553,22547,22553,22553,22553,22553,22553,22553,22553
17.07.2026 - 01.08.2026,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21553,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21732,21832,21753,21753,21753,21753,21747,21753,21753,21753,21753,21753,21753,21753
24.07.2026 - 08.08.2026,21432,21432,21432,21432,21432,21432,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21532,21632,21632,21632,21632,21632,21553,21553,21553,21553,21553,21553,21553,21553,21553,21547,21553,21553,21553,21553,21553,21553,21732
30.07.2026 - 14.08.2026,23532,23532,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23503,23497,23503,23503,23503,23503,23503,23503,23503
31.07.2026 - 15.08.2026,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21603,21597,21603,21603,21603,21603,21603,21603,21603
