,07.02.2025 21:16:34,08.02.2025 03:23:12,09.02.2025 03:25:35,10.02.2025 03:27:02,11.02.2025 03:25:46,12.02.2025 03:25:14,13.02.2025 03:25:28,14.02.2025 03:25:39,15.02.2025 03:26:07,16.02.2025 03:27:53,17.02.2025 03:28:18,18.02.2025 03:24:54,19.02.2025 03:28:47,19.02.2025 22:12:37,20.02.2025 03:26:41,21.02.2025 03:27:10,22.02.2025 03:24:34,23.02.2025 03:27:54
26.04 - 03.05,4665,4665,4665,4665,4665,4665,4665,4714,4714,4714,4714,4714,4714,4714,4714,4714,4763,4735
03.05 - 10.05,4254,4254,4254,4254,4224,4324,4324,4324,4373,4373,4373,4373,4421,4421,4421,4421,4421,4421
10.05 - 17.05,4126,4126,4126,4126,4126,4126,4126,4126,4174,4174,4174,4174,4174,4174,4174,4174,4174,4174
17.05 - 24.05,4328,4328,4377,4377,4377,4574,4574,4574,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595
24.05 - 31.05,4026,4026,4026,4026,4074,4224,4224,4224,4273,4273,4273,4273,4322,4322,4322,4371,4371,4371
31.05 - 07.06,4047,4047,4047,4047,4096,4246,4246,4246,4246,4246,4246,4246,4246,4246,4246,4323,4295,4295
07.06 - 14.06,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068
14.06 - 21.06,4916,4916,4916,4916,5033,4915,4915,4915,4915,4915,4915,4915,4915,,,4915,4915,4915
21.06 - 28.06,4197,4197,4197,4197,4197,4245,4245,4245,4294,4294,4294,4294,4294,4294,4294,4294,4294,4294
28.06 - 05.07,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590,4590
05.07 - 12.07,4485,4485,4485,4485,4446,4446,4446,4485,4485,4485,4485,4714,4714,4763,4763,4909,5125,5125
12.07 - 19.07,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4275,4275,4275,4275,4275,4275,4275
19.07 - 26.07,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4884,4884,5031,5031,4933,4912,4912
26.07 - 02.08,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4485,4485,4485,4485,4562,4534,4534
02.08 - 09.08,4648,4648,4648,4648,4714,4714,4714,4714,4714,4714,4714,4714,4714,4714,4714,4714,4714,4714
09.08 - 16.08,4890,4890,4937,4937,4947,4947,4947,4947,4947,4947,4947,4847,4847,4847,4847,4847,4847,4847
16.08 - 23.08,4027,4027,4027,4027,4076,4076,4076,4076,4076,4076,4076,4126,4126,4126,4126,4175,4175,4175
23.08 - 30.08,4027,4027,4027,4027,4076,4076,4076,4076,4076,4125,4125,4223,4223,4569,4569,4569,4541,4541
30.08 - 06.09,3929,3929,3929,3929,3978,3978,3978,3978,3978,3978,3978,4328,4328,4328,4328,4377,4377,4377
06.09 - 13.09,4147,4147,4147,4147,4147,4147,4147,4147,4196,4245,4245,4522,4522,4522,4522,4522,4522,4522
13.09 - 20.09,4379,4379,4379,4379,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447,4447
20.09 - 27.09,4372,4372,4372,4372,4442,4540,4589,4589,4589,4589,4589,4539,4539,4539,4539,4539,4539,4539
27.09 - 04.10,4260,4260,4260,4260,4328,4426,4426,4426,4426,4426,4426,4426,4426,,,4426,4426,4426
